Площадь,_скв.;Глубина,_м;Возраст;Литология;Tmax;ТОС;Kглинистости;HI
Западно-Кубалахская_359;2335,1;J3;аргиллиты_темно-серые_до_черных;429;1,7;0,295668;153
Западно-Кубалахская_359;2336,1;J3;аргиллиты_темно-серые_до_черных;431;1,3;0,259003;125
Западно-Кубалахская_359;2337,1;J3;аргиллиты_темно-серые_до_черных;431;1,44;0,30578;103
Западно-Кубалахская_359;2338,35;J3;аргиллиты_темно-серые_до_черных;432;1,4;0,354326;96
Западно-Кубалахская_359;2339,35;J3;аргиллиты_темно-серые_до_черных;436;1,57;0,258101;101
Западно-Кубалахская_359;2340,35;J3;аргиллиты_темно-серые_до_черных;435;1,42;0,317519;100
Западно-Кубалахская_359;2341,4;J3;аргиллиты_темно-серые_до_черных;434;1,28;0,286706;85
Западно-Кубалахская_359;2342,4;J3;аргиллиты_темно-серые_до_черных;432;1,4;0,180332;84
Западно-Кубалахская_359;2343,4;J3;аргиллиты_темно-серые_до_черных;432;1,56;0,207098;104
Западно-Кубалахская_359;2344,4;J3;аргиллиты_темно-серые_до_черных;431;1,6;0,282991;104
Западно-Кубалахская_359;2404;J3;аргиллиты_темно-серые_до_черных;432;1,04;0,380878;61
Западно-Кубалахская_359;2405;J3;аргиллиты_темно-серые_до_черных;434;2,53;0,443751;65
Западно-Кубалахская_359;2406;J3;аргиллиты_темно-серые_до_черных;431;1,48;0,419573;53
Западно-Кубалахская_359;2407;J3;аргиллиты_темно-серые_до_черных;433;1,65;0,372795;67
Западно-Кубалахская_359;2408;J3;аргиллиты_темно-серые_до_черных;433;1,09;0,406766;67
Западно-Кубалахская_359;2410,1;J3;аргиллиты_темно-серые_до_черных;429;0,88;0,419383;50
Западно-Кубалахская_359;2411,1;J3;аргиллиты_темно-серые_до_черных;427;0,82;0,396226;40
Западно-Кубалахская_359;2412,1;J3;аргиллиты_темно-серые_до_черных;434;0,94;0,446564;57
Западно-Кубалахская_359;2413,1;J3;аргиллиты_темно-серые_до_черных;431;0,87;0,433662;56
Западно-Кубалахская_359;2414,1;J3;аргиллиты_темно-серые_до_черных;428;0,77;0,431691;49
Западно-Кубалахская_359;2557,1;J3;аргиллиты_темно-серые_;428;1,06;0,346682;60
